# Talk Dialog

鹿野院平藏: …哎呀，九条大人就这么走了…一副头痛发作的样子，只怕又要回去喝药了。

旅行者: 所以，事情到底是…

鹿野院平藏: #哎呀，旅行者，你来得正好，之前和你说的那桩案子已经破啦。

旅行者: 平藏果然很厉害！

旅行者: 真相应该只有一个吧？

鹿野院平藏: 那当然，不然九条大人可不会轻易批准结案。

鹿野院平藏: 瞧你好奇的样子，我这就把前因后果告诉你…告诉你的话，九条大人应该也不会怪我泄露案情吧。

鹿野院平藏: 简单来说。犯人是一位经常光顾旧书店的学生。因为没钱买书，所以经常在这里看书。

鹿野院平藏: 在某天，他为自己暗恋的女孩写了一封表白信，打算悄悄放在女孩的书桌里。

鹿野院平藏: 因为太害羞了，他最终没有实行计划，而是把信原封不动地拿了回来。

鹿野院平藏: 在垂头丧气地回家时，他想要把那封信揉成团丢掉，但又狠不下心，所以只能无精打采地把信捏在手里扇来扇去。

鹿野院平藏: 这时，这位男生路过了一家旧书店。于是他决定把烦恼事放在脑后，先去把前几天没看完的书看完。

鹿野院平藏: 在看完了那本《应避忌的食人树》后，他回到了家里。但是，那封本应捏在手里的表白信却不见了。

旅行者: 难、难道他把那封信…

旅行者: 夹在了那本旧书里…

鹿野院平藏: 没错，他在看书的时候，无意识地将表白信当作书签夹在了书里。

鹿野院平藏: 在他回到家，并且意识到这一点时，想要去拿回信件，但却被告知…书已经被人买走了，老板还不记得客人的名字。

旅行者: 这封信要是被人看到…

鹿野院平藏: 「被看到的话就完蛋了，无论如何一定要拿回来」，当时这孩子一定六神无主地这么想吧。

鹿野院平藏: 在走投无路之下，他决定使用自己看过的罪案小说中所描述的犯罪方法，把那封信给悄悄偷回来。

鹿野院平藏: 也不知道是这孩子真有天赋，还是该说那本小说里的描述太详细，或者说稻妻城最近治安太好，大家根本没有防范盗窃的意识…

鹿野院平藏: 总之，那孩子凭借自己在书里看到的犯罪手法入室行窃，把整个花见坂闹得鸡飞狗跳。

鹿野院平藏: 因为本身案子不算大，所以最开始只是由同心们进行搜查。但这桩罪案却一直拖着破不了，搞得大家都很不安。

鹿野院平藏: 所以，九条大人才指派我来负责这桩罪案。还好这案子不算复杂，破案的时候嘛…也算顺利。

旅行者: 那你是怎么抓到犯人的？

鹿野院平藏: 咳…也不能说是我「抓到」的。那一天，奉行所里的一位同心买了一本《应避忌的食人树》。

鹿野院平藏: 这家伙说：「我倒是要看看，这本书到底有趣到什么程度，能让那个犯人拼了命也要冒险。」

鹿野院平藏: 在翻开之后，那封信就…掉在了地上。我读完了这封「莫名其妙」的表白信后，一下子就想通了。

鹿野院平藏: 然后，我就挑了一个学堂放学的时间，在路上拦住了那位「犯人」。

旅行者: 他没有想逃跑么？

鹿野院平藏: 当然想啊，他看见我的一刹那就掉过头，拔腿想跑。然后我说：

鹿野院平藏: 「你要是逃跑的话，我就把这封信送给你暗恋女生的同桌。」

鹿野院平藏: 说完之后，他就扭头乖乖回来了。

旅行者: 平藏，好可怕…

旅行者: 明明是正义的侦探！

鹿野院平藏: 只是吓唬他一下啦！我才不会做这种不负责任的事情。

鹿野院平藏: 虽然他还是小孩子，但犯罪就是犯罪，必须要负的责任和应当付出的赔偿是少不了了。

旅行者: 这孩子也太熟练了…

旅行者: 总觉得他有一种危险的天赋…

鹿野院平藏: 唉…所以我才说，市面上那些把犯罪描绘得天花乱坠的罪案小说，会冲淡人们对犯罪的感觉。

鹿野院平藏: 「这种小事不算违法啦」、「这样做也无所谓」、「肯定不是什么大事」…

鹿野院平藏: 大家就抱着这种侥幸的念头，不知不觉地就变成了违法犯罪的笨蛋了。

鹿野院平藏: #旅行者！你有这种念头么？

旅行者: 保证没有！

鹿野院平藏: 哈哈哈，真的？有也没关系，只要不付诸实践，就不算违法乱纪。

旅行者: 有，每时每刻都在想啦。

鹿野院平藏: 哎呀，真的？那你可要小心了，要是你付诸实践，到时候说不定就是由我来探案，由九条大人来抓你了。

鹿野院平藏: 还是别做那种事啦，九条大人给人戴枷锁的时候力气可大了，戴着枷锁走路也难受得很。

鹿野院平藏: 喔，时间差不多了，我要回奉行所去了，还有很多案件等着我处理呢。

鹿野院平藏: 这次闹出了这么大的事，过段时间，九条大人肯定又要带着我们到处去宣讲安全防范了…

鹿野院平藏: 唉，希望别出现什么笨蛋模仿犯，不然，我们又要加班喽…
